Review ID,Rating,Review,Date
1,1,delivery is funded by shop keeper not by customer because everything is too much experience,"December 15, 2025"
2,3,Nice,"September 4, 2023"
3,4,super,"November 3, 2025"
4,4,good,"March 25, 2025"
5,4,Fast delivery. Overall Good. Thank you,"October 30, 2024"
6,4,cod is not working. that's the on!y issue otherwise no prob,"May 26, 2024"
7,1,"I dont know how this platform has got 4.3 rating, but zomato is one of the biggest dissapointments i have had while ordering food online. i ordered a cake of 500 gram and receiving it was one of the biggest horrors, it seemed as someone has stomed upon it. so i exchanged it for new one, the new cake was just perfect and just perfectly some other cake, it was of 200 gms they exchanged. so basically these people took my 600 rupees and gave something else. very dissapointing!","January 29, 2019"
8,5,"i have been ordering for quite a while now...the experience has been really good, especially the refund support assists superfast.... impressive!","June 28, 2022"
9,5,I just like how smoothly it worked,"January 25, 2026"
10,4,It all depends on your delivery boy. So please check for every order.,"May 6, 2023"
11,5,very niuce app but not installed tilll yet oops..........,"February 4, 2022"
12,1,why are your was not download there please download this,"October 19, 2025"
13,5,good app.. really loved it,"December 1, 2024"
14,5,Fast and Faminishing :-),"November 10, 2019"
15,5,wow super cute nice,"February 15, 2025"
16,1,just one word - Pathetic,"June 25, 2023"
17,1,haha ran away from our town betrayed me 😭😭,"May 6, 2023"
18,5,good,"February 22, 2026"
19,5,exclent,"February 18, 2024"
